Subject ID,Block Number,Probe Type,Probe Contour,Option 1,Option 2,Shift Direction,Shift Position,Probe Pitches,swapped Pitches,Shifted Pitches,Has Decoy,Decoy Position
S1C0801,5,diatonic,"1,3,5,4,2,3,4,0",shifted,swapped,1,3,"1,6,10,8,3,6,8,-2","1,6,10,3,8,6,8,-2","1,6,10,9,3,6,8,-2",false,
S1C0801,5,chromatic,"6,4,2,3,5,4,0,1",swapped,shifted,-1,4,"9,6,3,4,8,6,-1,0","9,6,3,8,4,6,-1,0","9,6,3,4,7,6,-1,0",false,
S1C0801,5,diatonic,"4,3,0,2,4,1,2,4",shifted,swapped,-1,4,"10,7,0,5,10,2,5,10","10,7,0,10,5,2,5,10","10,7,0,5,9,2,5,10",false,
S1C0801,5,chromatic,"4,1,2,1,5,0,1,3",shifted,swapped,-1,3,"6,2,3,2,9,-1,2,4","6,2,3,9,2,-1,2,4","6,2,3,1,9,-1,2,4",false,
S1C0801,5,diatonic,"4,2,0,2,3,1,0,3",swapped,shifted,1,4,"10,5,0,5,7,3,0,7","10,5,0,7,5,3,0,7","10,5,0,5,8,3,0,7",false,
S1C0801,5,chromatic,"3,5,3,1,4,0,4,2",swapped,shifted,1,3,"6,8,6,-1,7,-3,7,3","6,8,6,7,-1,-3,7,3","6,8,6,0,7,-3,7,3",false,
S1C0801,5,diatonic,"5,3,1,2,4,0,3,1",swapped,shifted,-1,3,"10,5,1,3,8,-2,5,1","10,5,1,8,3,-2,5,1","10,5,1,2,8,-2,5,1",false,
S1C0801,5,diatonic,"2,4,2,3,0,1,2,5",shifted,swapped,-1,3,"2,7,2,5,-2,0,2,10","2,7,2,-2,5,0,2,10","2,7,2,4,-2,0,2,10",false,
S1C0801,5,chromatic,"1,2,3,4,7,5,6,0",swapped,shifted,1,3,"-2,0,1,2,8,5,7,-3","-2,0,1,8,2,5,7,-3","-2,0,1,3,8,5,7,-3",false,
S1C0801,5,chromatic,"2,4,3,0,5,6,4,1",shifted,swapped,-1,4,"0,2,1,-3,5,9,2,-2","0,2,1,5,-3,9,2,-2","0,2,1,-3,4,9,2,-2",false,
S1C0801,5,chromatic,"5,4,0,1,4,2,5,3",shifted,swapped,1,4,"8,4,-2,-1,4,0,8,1","8,4,-2,4,-1,0,8,1","8,4,-2,-1,5,0,8,1",false,
S1C0801,5,diatonic,"1,0,1,0,2,1,3,4",shifted,swapped,1,3,"1,-2,1,-2,3,1,5,8","1,-2,1,3,-2,1,5,8","1,-2,1,-1,3,1,5,8",false,
S1C0801,5,diatonic,"3,4,5,4,2,1,3,0",swapped,shifted,1,4,"5,8,10,8,3,0,5,-2","5,8,10,3,8,0,5,-2","5,8,10,8,4,0,5,-2",false,
S1C0801,5,chromatic,"1,2,0,3,2,6,5,4",swapped,shifted,-1,4,"1,3,-3,5,3,9,7,6","1,3,-3,3,5,9,7,6","1,3,-3,5,2,9,7,6",false,
S1C0801,5,chromatic,"6,3,0,5,1,4,7,2",swapped,shifted,-1,3,"8,4,0,7,1,5,9,2","8,4,0,1,7,5,9,2","8,4,0,6,1,5,9,2",false,
S1C0801,5,chromatic,"3,2,6,4,0,5,2,1",shifted,swapped,1,4,"5,4,9,6,-2,7,4,1","5,4,9,-2,6,7,4,1","5,4,9,6,-1,7,4,1",false,
S1C0801,5,diatonic,"4,2,3,0,1,2,5,0",swapped,shifted,-1,3,"8,3,5,-2,0,3,10,-2","8,3,5,0,-2,3,10,-2","8,3,5,-3,0,3,10,-2",false,
S1C0801,5,chromatic,"3,2,5,4,3,5,1,0",shifted,swapped,1,3,"5,4,9,7,5,9,-2,-3","5,4,9,5,7,9,-2,-3","5,4,9,8,5,9,-2,-3",false,
S1C0801,5,diatonic,"4,3,2,1,4,3,0,2",shifted,swapped,1,4,"10,7,5,3,10,7,0,5","10,7,5,10,3,7,0,5","10,7,5,3,11,7,0,5",false,
S1C0801,5,diatonic,"2,4,5,4,1,3,5,0",swapped,shifted,-1,4,"3,8,10,8,1,6,10,-2","3,8,10,1,8,6,10,-2","3,8,10,8,0,6,10,-2",false,
